class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,identifier,https://rism.online/sources/990037984,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044059,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV10420010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,title,,,,,,Primo libro de madrigali a quatro voci di l'Hoste da Regio,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,inception,,,,,,,1547.0,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,has_version,,,,,,,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T251/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1556.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE044052,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,has_version,,,,,,,,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T250/,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1547.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE044059,Canto part only,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvrgfY6eM6QQ,Bartolomeo Torresani,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio.md,P7AXeJcnPriq,435218178498361554029,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
