class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,identifier,https://lyra.unil.ch/poems/369,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,identifier,https://versologie.cz/poetree/browser/poem?corpus=it&id_poem=29222,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HwvMFqbR8oit,PoeTree,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6S47e6TzBP6e', 'label': 'Chiara Matraini'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq,author,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PuMYwZifTJAV,95.0,Rime di diversi signori napoletani Libro settimo,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Z5e4Z6WMSNSn,despair,,,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/38e9HM4DjtDK,plant,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZsNG8yssbKzY,animal,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M5s27pP8VYFC,Sun,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,
PoeticWork,"Alti son questi monti, et alti sono",,,"Alti son questi monti, et alti sono","Alti son questi monti, et alti sono.md",PdDychS6YRZn,446101126858605080423,text,,,,,,,,,,,,,,,,,,,,,,"Alti son questi monti, & alti sono
Li miei pensier, che null'altro gli adombra:
Questi di piante il ciel, sterili ingombra;
Le mie speranze senza frutto sono.

Scendon fonti da lor con alto suono,
Poggiando i venti a l'alte cime & ombra:
Rivi di pianto da quest'occhi sgombra
Doglia, e sospir, di cui sempre ragiono.

Nemiche fere in loro empie e rapaci
S’annidan solo; e nel mio seno alberga
Idra fera, & Arpia, che'l cor divora.

Godon pur questi le superne faci,
Qualhor vil nebbia almo seren disperga:
Ma non veggio io il mio Sol, che l’alma adora."
