class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,work_location,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPwMwUsq27Kf,Compagnia dei Pastori Fratteggianti,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,occupation,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,related_to,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,notable_work,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,interested_in,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0210,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16298,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,present_in_work,,,,,,,,,,,,,,,
Agent,Issicratea Monte,Issicratea Monte.md,Issicratea Monte,PqX4kUDKqx44,450553962591602362268,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q113046538
