class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/296810000010101_000000253800C,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7foFM4iCJ8um,Pietro Vinci,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mhGX2rwoBen9,Di Pietro Vinci Il terzo libro de madrigali a cinque voci,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,based_on,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,text,,,,,,,,,,,,,,"Usciam nimphe homai fuor di questi boschi
Et di fior bianchi e gialli
Tessian ghirlande e cingiansene i crini
Che dopo horrida e fiera 
stagion con fiori e frondi
Torna la desiata primavera
Orsù faccian le valli
Sonar col canto e su le verd'herbette
Guidan con dolce suono in gir'i balli.",,,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,language,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ruLTSyv8VeY,pastoral,,,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,poetic_type,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ByFdYpwqvPWu,nymph,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DYmAPqoy7Zec,forest,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLHq8TzF3NgR,garland,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iNzQpg7zFBaG,flower,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SdFEzi7he4AR,dance,,
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,metre,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable
MusicComposition,Usciam ninfe omai fuor di questi boschi (Vinci),,,Usciam ninfe omai fuor di questi boschi (Vinci),Usciam ninfe omai fuor di questi boschi (Vinci).md,QEKe34W8shjP,458446185967732187058,metre,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable
