class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,identifier,http://www.wikidata.org/entity/Q3838086,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,described_by_source,,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,work_location,,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ja3o7UfjoiHn,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia Veneziana,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SKtDLrjwskaN,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB', 'label': '(Moroncini 2017)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MmYBcxDcaCgT', 'label': '(Corso 2017)'}]",Accademia delle Virtù,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,related_to,,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,notable_work,,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,interested_in,,,,,,,,,,,,,,,,,
Agent,Luca Contile,,,Luca Contile,Luca Contile.md,QLHvtTaEdNe2,460607562480339461133,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18042.0
