class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,instance_of,,,[[academy]],,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,inception,,,,1612.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bpRYamR8DUKq,Napoli,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",89.0,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/692cVZSpt5VS,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Giambattista Marino,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sileni di Napoli,,,Accademia dei Sileni di Napoli,Accademia dei Sileni di Napoli.md,QXuXyaFh7GsX,464816028889555400039,notable_work,,,,,,,,,,,,,,,,
