class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZVvBQRKAMqSx,Camillo Gessi,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,part_of,,,,,,,,Dell'Intento,31.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGHkPLurgTyx,Ricreazioni amorose de gli Academici Gelati di Bologna,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iMsLAWZsRpYq,mythology,,,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PjUZ5RQdvhXG,Philomela,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DYmAPqoy7Zec,forest,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dvd5PGqiBSVe,songbird,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Cinta di molli piume il collo, e'l petto",The author makes praise of the musical skills of Filomela. Her devotion and singing are compared with a songbird.,,"Cinta di molli piume il collo, e'l petto","Cinta di molli piume il collo, e'l petto.md",QeS8LraQcAfe,467176138095138648555,text,,,,,,,,,,,,,,,,,,,,,,,,"Cinta di molli piume il collo, e'l petto
Dolci formar suol Filomena accenti;
Dolci accenti sì ben: ma ancor dolenti
Che pietoso a ciascun porgon diletto.

Tu canto più soave, e più perfetto,
Che confusi non ha seco lamenti
Formi, augello gentil; di vaghe, e ardenti
Piume di carità cinto l'affetto.

Canta le sue sventure ella piangendo,
El le querule voice, e'l dolce canto
Raddoppiano le selve, e le foreste.

Tu laudi canti al tuo fattore, ardendo
Di fé, di caritade, e d'Amor santo;
Raddoppia il tuo cantar, canto celeste."
