class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,inception_reference,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,identifier,http://id.sbn.it/bid/BVEE023175,,,,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,identifier,https://corago.unibo.it/libretto/DRT0018957,,,,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK,(Cosentino 2017),,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SCcjxHTsbE6i,Corago. Repertorio e archivio di libretti del melodramma italiano dal 1600 al 1900,,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,instance_of,,,,[[libretto]],,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,instance_of,,,,[[comedy]],,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,title,,,,,La finta mora commedia del dottor Iacopo Cicognini accademico intronato,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,inception,,,,,,1623.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK', 'label': '(Cosentino 2017)'}]",,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,has_version,,,,,,,,http://id.sbn.it/bid/BVEE023175,1625.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW', 'label': 'Firenze'}]",https://arbor.medialibrary.it/item/8f7d76c6-7005-4f66-a940-d2a3dee05079,https://archiginnasio.jarvis.memooria.org/meta/iiif/8f7d76c6-7005-4f66-a940-d2a3dee05079/manifest,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fDvB94aRWTb5,Iacopo Cicognini,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,subject,,,,,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,has_part,,,,,,,,,,,,,,,,,,
Book,La finta mora,,,La finta mora,La finta mora.md,QpbiATeDSipS,470857402823143511691,based_on,,,,,,,,,,,,,,,,,,
