class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,identifier,http://www.wikidata.org/entity/Q823033,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Hm8LNCNr7Wxn,Firenze,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,member_of,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,occupation,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VJHgvh7b7uBn,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4KydtJBYz8ts', 'label': 'literary host'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/L2FyhVSPZ7e4', 'label': '(Brown 2020)'}]",Niccolò Machiavelli,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,notable_work,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,interested_in,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Bernardo Rucellai,,,Bernardo Rucellai,Bernardo Rucellai.md,RPe5PDBt7RB8,482457425854496612289,present_in_work,,,,,,,,,,,,,,,,,,
