class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Lq5GhkB8p6YX,Daniele Barbaro,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rt9dKQ5RaNbH,Del Dubbio.,Predica de i sogni,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRufTZn93Cc5,doubt,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,depicts,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,text,,,,,,,,,,,,,,,,,,,,"Da meraviglia il nostro dubbio nasce
E dal contrasto delle due ragioni;
Ch'esser dimostran vere le cagioni,
Di ch'egualmente nostro cor si pasce.

Indi si scopre, e come Sol rinasce
Tutt'il leggiadro delle inventioni;
Perché la mente fatti i paragoni,
Aviva il ver di cui si nutre in fasce.

Grave cos'è levar il dubbio antico,
Ma il saggio dubitar sospeso tiene,
L'intelletto disposto, è al vero amico.

Così la negation ardita viene
Di quel, che è torto, & al dover nimico:
O vero l'affermar di quel, ch'è bene.",,
PoeticWork,Da meraviglia il nostro dubbio nasce,,,Da meraviglia il nostro dubbio nasce,Da meraviglia il nostro dubbio nasce.md,RdmUFK79pAMB,487572900162939960627,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
