class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,identifier,https://edit16.iccu.sbn.it/titolo/CNCE003261,,,,,,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011),,,,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TxUhBPCn3SQb,drama,,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,title,,,,,,Il Tancredi. Tragedia del signor conte di Camerano. Dal sig. Gherardo Borgogni di nuouo posta in luce,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,inception,,,,,,,1588.0,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE003261,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iG7WWQ4U3KTG', 'label': 'Comino Ventura'}",1588.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4G4zUCvYBvXZ', 'label': 'Bergamo'}]",https://dl.unito.it/it/ricerca/digitale/?id=mag:32995,https://dl.unito.it/fedora/objects/mag:32995/datastreams/MMIIIF/content,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZcVHwVX7diX3,Federico Asinari,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Book,Il Tancredi. Tragedia del signor conte di Camerano,,,Il Tancredi. Tragedia del signor conte di Camerano,Il Tancredi. Tragedia del signor conte di Camerano.md,SBUn98fwoDjc,498689952222783745201,depicts,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9NZf7yFeJSxK,Tancredi
