class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,inception_sourcing_circumstances,inception_reference,dissolved_sourcing_circumstances,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_pseudonym,member_value,member_reference,member_label,member_role,interested_in_value,interested_in_reference,interested_in_label,notable_work_value,notable_work_label
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,identifier,http://www.wikidata.org/entity/Q48837556,,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7VwEEvbhjKZB,(Moroncini 2017),,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzbsVFUqEnzX,(Moroncini 2020),,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,instance_of,,,,[[academy]],,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,inception,,,,,1532.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,dissolved,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8LbxJqpVwRJW', 'label': 'circa'}",1545.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,location,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,official_website,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",107.0,,,,,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,member,,,,,,,,,,,,,,,,Sere Stentato,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EwfLmXQPbnEx,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Giulio Landi,,,,,,
Organisation,Accademia delle Virtù,,"['Accademia Vitruviana', 'Accademia dei Vignaiuoli']",Accademia delle Virtù,Accademia delle Virtù.md,SKtDLrjwskaN,501734999745914215301,member,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QLHvtTaEdNe2,,Luca Contile,,,,,,
