class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,identifier,http://id.sbn.it/bid/ANAE040380,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,described_by_source,,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,title,,,,,"Madrigali del conte Marc'Antonio Ferretti, ne' quali si contengono lodi, & honesti amori, lagrime, e morti, pitture, e scolture, e diuotioni",,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,inception,,,,,,1627.0,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1627.0,http://id.sbn.it/bid/ANAE040380,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SNDFZU9awXfx,Marco Antonio Ferretti,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,visual arts,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,has_part,,,,,,,,,,,,,,,,
Book,Madrigali del conte Marc'Antonio Ferretti,,,Madrigali del conte Marc'Antonio Ferretti,Madrigali del conte Marc'Antonio Ferretti.md,SZWuhd8exqFs,506668231975332533533,based_on,,,,,,,,,,,,,,,,
