class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,metre_value,metre_label,identifier_value,described_by_source_value,described_by_source_label
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N3wwHPgkup37,aria,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TWgNp69MHDbB,Scipione Dentice,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Sb8fPnR73AZ,Aeri racolti insieme,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,instrumentation,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,based_on,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,text,,,,,,,,,,,"Tu che'l passato mio buon tempo sai
& quanti giorni e quante notti care
Con la mia donna e con amor vegghiai.
Mentre l'amai.

Et hor sai ben di che novelle amare
Per queste orecchie avvelenato il core
Ch'a poco a poco il vedrai consumare.
Non più amare.

Di generosa mia senza timore,
A sua gran donna questi pochi altieri
Ultimi detti che non dette amore.
Ma gran dolore.

Mai come pria dell'amor mio più speri
Caduto come ﬁor ch'aratro tocchi
Poi c'ebbi di cangiati suoi pensieri.
Messaggi veri.",,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,language,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RxPzK5AT4e8P,longing,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ngTwYTt8Gx5h,barzelletta,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,depicts,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,identifier,,,,,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/290270000010101_000000083600C,,
MusicComposition,Tu che 'l passato mio buon tempo sai (Dentice),Tu che 'l passato mio buon tempo sai (Dentice).md,Tu che 'l passato mio buon tempo sai (Dentice),SmBLqtCzWaPb,510888293169717914619,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM
