class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,identifier,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3,Italian Women Writers,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MntQ8GFWJNNX,Piscatrice,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",1590.0,Accademia degli Erranti di Ceneda,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/b6M5czGwPjhk,Fabrizia Carrari,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fGNbusFoz4E3', 'label': 'Italian Women Writers'}",A0474,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16288,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,Su9JMubabftr,513771579349901207505,present_in_work,,,,,,,,,,,,,,,,,,,,,,
