class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,identifier,http://id.sbn.it/bid/BVEE044103,,,,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kXtVbo8uQdf7,(Nicolaci 2017),,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G5HRmYcA2riQ,chivalric poem,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,title,,,,,,La roccella espugnata di Francesco Bracciolini dell'Api: al christianissimo rè di Francia Lodouico il Giusto. Con gl'argomenti à ciascun canto del sig. Desiderio Montemagni,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,inception,,,,,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,has_version,,,,,,,,http://id.sbn.it/bid/BVEE044103,1630.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE', 'label': 'Roma'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rh9WEK85nQkj', 'label': 'Vitale Mascardi'}",https://books.google.be/books?id=ogbj49_s2awC,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/arZqofEv9YwY', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JuZThiQYg6L7,Desiderio Montemagni,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TgkvPDmNoYZg,Maria de' Medici,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dRxARf6J8xhS,Louis XIII of France,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bgy6ktDtV7y3,Francesco Bracciolini,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JJ9ftxTrtEzW,religious war,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,has_part,,,,,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,TVLUVAjPpuAa,525789673830191548226,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Lv8EW8V8UKXk,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso"
