class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/d564otbkr4yr,Veronica Gambara.,5.0,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Se quando per Adone, over per Marte","Poem dedicated to her husband, count Gilberto VII da Correggio.",,"Se quando per Adone, over per Marte","Se quando per Adone, over per Marte.md",TfM57aErsBgz,529413753534308515709,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JD38F6WZ6Bni,condottiero,,,
