class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QG8DUy9nrgZ9,Luigi Transillo,,,,,,,,,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,part_of,,,,,,Luigi Transillo.,40.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Up3JPoUhPHLL,Libro quinto delle rime di diversi illustri signori napoletani,,,,,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2i89qrxS3XR,metaphor,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RxPzK5AT4e8P,longing,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/T5kQoJ6RQuQc,oxymoron,,,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GMAwvtJt3st5,chain,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NbBMYT8M5qdr,flame,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rkqg3J6afECo,ice,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ACTN7uuqiNiD,torment,,,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,"Lacci, catene, ceppi","Lacci, catene, ceppi.md","Lacci, catene, ceppi",TfkDrEApJ4oF,529560811964768493361,text,,,,,,,,,,,,,,,,,,,,,,"Lacci, catene e ceppi,
Giogo, prigion, saette, fiamme, & gelo,
Mentre mi copre il cielo,
Non mi lasciate un punto senza voi.
Amor fa, quanto poi;
Che benché molto pata, poco il sento;
Sì dolce è la cagion del mio tormento."
