class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,gender_value,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,identifier_value
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,instance_of,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,gender,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,work_location,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,member_of,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,occupation,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KbRyHy5gL3JT,engraver,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,related_to,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,notable_work,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,interested_in,,,,,,,,,,,,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",20033.0,
Agent,['Francesco Valegio'],Francesco Valesio,Francesco Valesio.md,Francesco Valesio,TzPRkMEoLjWp,536307390224358585880,identifier,,,,,,,,,,,,http://www.wikidata.org/entity/Q21993844
