class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,identifier,http://www.wikidata.org/entity/Q168962,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,described_by_source,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,work_location,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,member_of,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,related_to,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Lv8EW8V8UKXk,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,interested_in,,,,,,,,,,,,,,,,
Agent,Torquato Tasso,,,Torquato Tasso,Torquato Tasso.md,UJZ7Qau55M9Z,542523427124775299638,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15312.0
