class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F263400000010101_000000134800C,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9FW3RNWgLo6H,Stefano Lando,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QG8DUy9nrgZ9,Luigi Transillo,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hMZuHnuTemgu,Di Stefano Lando il primo libro de madrigali a quattro voci,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,instrumentation,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,based_on,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,derivative_work,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,text,,,,,,,,,,,,,,"Se'l ver quel che si legge
che l'amante in quel ch'ama si trasforma
presa l'amata forma
Io non so quel ch'i m'era ma son voi 
se cosa dunque ho detto che v'annoi
Non incolpate donna il parlar mio
che la diceste voi non la diss'io.",,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,language,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,subject,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,poetic_type,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,depicts,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Lando),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Lando),S'è ver quel che si legge (Lando).md,ULrgUZahhBy6,543359153577363336781,metre,,,,,,,,,,,,,,,,,,,
