class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AQ4Mxw23doRC,Laura Battiferri,,,,,,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,part_of,,,,,,A M. Francesco Monte Varchi.,34.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3gZsxzoV4qay,Il primo libro dell'opere toscane di m. Laura Battiferra degli Ammannati,,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,part_of,,,,,,"Laura Battiferri, II",,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbmAAqzyQVgt,(van Dooren 1992),,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Fra queste piaggie apriche e chiusi horrori,Fra queste piaggie apriche e chiusi horrori.md,Fra queste piaggie apriche e chiusi horrori,UMcHzQpaStfU,543629761917435196859,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
