class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,identifier,http://www.wikidata.org/entity/Q32833,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,described_by_source,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,work_location,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,member_of,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,related_to,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,notable_work,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,interested_in,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,catalog_identifier,,,,,,,,,,,,,,,
Agent,Teofilo Folengo,,,Teofilo Folengo,Teofilo Folengo.md,Uj7uWMw9v9H7,551414259426370536365,present_in_work,,,,,,,,,,,,,,,
