class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,dissolved,,,,,,1543.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",316.0,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,member,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,related_to,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XEzdiDXFEmfq,603145157356473666116,motto,,,,,,,,,,,,,,,,,
