class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MwAaHEnQdsjZ,Costanza d'Avalos Piccolomini,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,part_of,,,,,,,,74.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,1.0,Costanza d'Avalo.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Dalle tenebre oscure al lume chiaro,The author compares her love passion with the feeling of leaving the Earth and the freedom of flight.,,Dalle tenebre oscure al lume chiaro,Dalle tenebre oscure al lume chiaro.md,XSmGjRZDzbGB,607404650683882263288,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
