class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,based_on_label,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,part_of,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,based_on,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZaXMHEYL6UzC,Olimpia,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,,,
PoeticWork,Questa è la fede tua,,"[""Lamento d'Olimpia""]",Questa è la fede tua,Questa è la fede tua.md,XrmysBajyRTc,616098034394237084419,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8CJumkhmB57N,abandonment,,,,,,,,,
