class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,identifier,http://www.wikidata.org/entity/Q42529865,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ipKiqNYzjYoG,(Martini Salvi 2012),,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WURfhDosUvNv,1560.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia dei Travagliati di Siena,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0256,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16249,
Agent,Virginia Martini Salvi,,['Virginia Salvi'],Virginia Martini Salvi,Virginia Martini Salvi.md,XvaLF6gau6Uq,617472108215464635458,present_in_work,,,,,,,,,,,,,,,,,,,,
