class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value,described_by_source_value,described_by_source_label
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,Pietro Aretino,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,part_of,,,,,,"Canto I, 1",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DKcYbAWT5iHU,Astolfeide del divino Pietro Aretino,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,subject,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,poetic_type,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,metre,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QD7ZE8NxGr96,knight,,,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,text,,,,,,,,,,,,,,,,,,,,"Le Temerarie Imprese, i strani effetti, 
I Cuor Bramosi, l'insatiabil menti,
De' Cavallieri Erranti, i gran Concetti, 
Le Sorti, i Paragon di tutte genti, 
Baron da Mensa, & Campioni da Letti, 
Di Carlo Magno, & tutti i suoi parenti, 
De' Paladin da ver di quei da Ciance 
Canto l'Armi, l'Amor fra spade, & lance.",,
PoeticWork,"Le Temerarie Imprese, i strani effetti","Le Temerarie Imprese, i strani effetti.md","Le Temerarie Imprese, i strani effetti",Xx5Y6nVNESWe,618013303402585633455,described_by_source,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3bt2ieeAeUgg,(Selepiuc 2020)
