class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/191650000010101_000000158600C,,,,,,,,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9dp4sDNQ5hUh,Francesco Menta,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nn46tKMNds6X,"Madrigali a quattro voci, di Francesco Menta",,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,instrumentation,,,,,,,,,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dgeVEev2vEhf,Oh dolorosi amanti,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,derivative_work,,,,,,,,,,,,,,,
MusicComposition,Oh dolorosi amanti (Menta),,,Oh dolorosi amanti (Menta),Oh dolorosi amanti (Menta).md,YBxgRgVstozz,622682556310636729739,text,,,,,,,,,,,,,,,
