class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NYnBUoK6iQVV,Gironda Cerrini,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SS22BxV4tioH,Francesco Maria Calidoni,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ayj9Hkpp35ZJ,40.0,"Del Sig. Francesco Maria Calidonii. Invita la Signora Gironda Cerrini, Perugina a Cantare nel Dottorato del Bigaroli; e allude a' Fiori, e Stelle dell'Arma del medesimo.",Capricci poetici di diversi autori perugini ascritti all'augustissima Accademia degl'Insensati raccolti da Francesco Degli Oddi,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,D'Astrea sudando a' gravi studi intorno,,,D'Astrea sudando a' gravi studi intorno,D'Astrea sudando a' gravi studi intorno.md,YSCHhpBqL3FZ,627831060627713452387,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
