class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,part_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dUxL6iZT2qYu,Rime della S. Isabella Andreini.,287.0,Rime di diversi celebri poeti dell'età nostra,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kVrAkrexneyx,pastoral,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BCzTXjHPZh72,mortality,,,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,poetic_type,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,metre,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jwx5X37nmtsV,flower,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,depicts,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"Colma di fasto, io me ne già cantando","Colma di fasto, io me ne già cantando.md","Colma di fasto, io me ne già cantando",Zdv7qQYJNmNt,652714989105711083699,text,,,,,,,,,,,,,,,,,,,,,,"Colma di fasto, io me ne già cantando
Lungo un fiorito colle;
E quasi (oh mia sciochezza,)
Godea di questa mia frale bellezza;
Quando frai l'herba molle
Vidi languir un fiore
Privo del suo vital soav'humore.
E conobbi, che tale
Era beltà mortale."
