class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,identifier,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J2WWnnoFCNsQ,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}]",Accademia degli Unisoni di Venezia,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eyV9wwcfCgPX,singer,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,related_to,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FseFVcsndDRv,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V6cqVoABPVYS', 'label': 'child'}",Giulio Strozzi,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,interested_in,,,,,,,,,,,,,,,,,,,,,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,catalog_identifier,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18140.0,
Agent,Barbara Strozzi,,,Barbara Strozzi,Barbara Strozzi.md,ZmHewbtQxXoU,655379718087636784133,present_in_work,,,,,,,,,,,,,,,,,,,,,
