class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_volume,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dnKqeJdTP2sv,Vittoria Colonna,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,part_of,,,,,,,,37.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ENUbQJ8t6z8B,1.0,Vittoria Colonna.,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MVesHQPbVg5X,metaphor,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bvvit9jGS3mp,longing,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,metre,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M5s27pP8VYFC,Sun,,,
PoeticWork,"Parmi, che il Sol non porga il lume usato","The natural order of things is falling apart, since the author's lover has vanished.",,"Parmi, che il Sol non porga il lume usato","Parmi, che il Sol non porga il lume usato.md",ZnaTeAWdSewG,655848466447832876990,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MiEZVRza7UDo,celestial body,,,
