class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mkV3zAKyhxGc,Perugia,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,Accademia degli Insensati di Perugia,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,occupation,,,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,related_to,,,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,notable_work,,,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,interested_in,,,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,catalog_identifier,,,,,,,,,,,,,,
Agent,Francesco degli Oddi,Francesco degli Oddi.md,Francesco degli Oddi,aFwk4aFAcBXw,665396542409737354088,present_in_work,,,,,,,,,,,,,,
