class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,identifier,http://www.wikidata.org/entity/Q7420427,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQq3N3zLE9Lo,(Santinelli 1985),,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,work_location,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,member_of,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2QDe7ywPhxhM,alchemist,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,related_to,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,notable_work,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,interested_in,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Francesco Maria Santinelli,,,Francesco Maria Santinelli,Francesco Maria Santinelli.md,aS9jDyDiqBTA,669086648758690919822,present_in_work,,,,,,,,,,,,,,,,
