class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,identifier,http://www.wikidata.org/entity/Q18509145,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,identifier,https://lyra.unil.ch/agents/423,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Ggw3HkdGbzX,(Procaccioli 2017),,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZeHYJAGwEQHj,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Accademia dello Sdegno di Roma,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,related_to,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Dionigi Atanagi,,,Dionigi Atanagi,Dionigi Atanagi.md,aqWjqjxisPYb,677546866005295145343,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18122.0
