class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,identifier,http://www.wikidata.org/entity/Q891920,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VMASYw6gTP7u,(Treadwell 2013),,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo,Ferrara,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,member_of,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,related_to,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SdFEzi7he4AR,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VMASYw6gTP7u', 'label': '(Treadwell 2013)'}]",dance,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,,music making,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Margherita Gonzaga,,"['Margherita Gonzaga, Duchess of Ferrara']",Margherita Gonzaga,Margherita Gonzaga.md,b3cWxaEm2cLX,681565906194376793222,present_in_work,,,,,,,,,,,,,,,,,,,
