class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_start_date,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,work_location,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MntQ8GFWJNNX,Boscareccia,1587.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx', 'label': '(Cox 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Accademia degli Erranti di Ceneda,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,occupation,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,related_to,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,notable_work,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,interested_in,,,,,,,,,,,,,,,,,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16271.0,
Agent,Fabrizia Carrari,Fabrizia Carrari.md,Fabrizia Carrari,b6M5czGwPjhk,682553910256966633335,present_in_work,,,,,,,,,,,,,,,,,
