class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/034380000101_PPPP00148700C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6MRHtMq4jwD6],,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,part_of,,,,,,,,All'Illustriss. Signora Donna Roberta Caraffa Lopez. Cesare Rinaldi,41.0,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MW7UE9R8m7LS,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gTLFtEKC9ZXS,warrior,,,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,D'ogni amorosa frode,,,D'ogni amorosa frode,D'ogni amorosa frode.md,bMTVSR9jaREH,688025172615228763953,text,,,,,,,,,,,,,,,,,,,,,,,,,"D'ogni amorosa frode
V'affida il vostro nome,
Quasi di ricca pianta angue custode;
Che sol ch'altri vi nome,
Oh BARBARA OH GUERRIERA.
Trema, e s'audace pur vi chiama, e spera
Spera il suo danno, e chiama infero carme
La crudeltà con l'arme."
