class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,identifier,http://www.wikidata.org/entity/Q43255322,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,described_by_source,,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dYitBDGB87fT,Bergamo,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,member_of,,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,related_to,,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,notable_work,,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,interested_in,,,,,,,,,,,,,,,,,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",20566.0,
Agent,Comino Ventura,,,Comino Ventura,Comino Ventura.md,bMbySjzKcojd,688079104973837033225,present_in_work,,,,,,,,,,,,,,,,,
