class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_reference,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,identifier,https://rism.online/people/50047978,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,described_by_source,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/87m6PkVEPizY', 'label': 'Le gemme. Madrigali a cinque de diversi eccellentissimi musici della città di Bologna'}]",Bologna,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,member_of,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ,composer,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,related_to,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,notable_work,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,interested_in,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Paolo Consoni,,,Paolo Consoni,Paolo Consoni.md,beqEviihvZez,694317855315665554202,present_in_work,,,,,,,,,,,,,,,,,
