class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_start_date,member_of_end_date,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_source,catalog_identifier_value
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,identifier,http://www.wikidata.org/entity/Q332489,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S2kSCsCknAf3,(Sacchini 2020),,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eqXqmD8qjEdV', 'label': '(Moralejo Ortega 2017)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S2kSCsCknAf3', 'label': '(Sacchini 2020)'}]",1602.0,1602.0,Accademia degli Insensati di Perugia,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Agent,Giambattista Marino,,['Giovanni Battista Marino'],Giambattista Marino,Giambattista Marino.md,c6NfMc4aLaby,703199920117879823392,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5605.0
