class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_role,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dro24WHpsjn3,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SqGAEzjPvbze', 'label': 'visitor'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Intronati di Siena,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VBUwSJM8ZoZx,sculptor,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mg8U6QhVqEqK,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY', 'label': 'lover'}",Adriano Valerini,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0668,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,present_in_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,identifier,,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4936473,,
Agent,Vincenza Armani,Vincenza Armani.md,Vincenza Armani,cPH3aNn2RnWp,709318742951665411348,described_by_source,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VMASYw6gTP7u,(Treadwell 2013)
