class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,identifier,http://www.wikidata.org/entity/Q1134183,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,described_by_source,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,work_location,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,member_of,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/imEvebZ5kR6C,actor,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,related_to,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,notable_work,,,,,,,,,,,,,,,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,
Agent,Giambattista Andreini,,"['Giovan Battista Andreini', 'Giovanni Battista Andreini']",Giambattista Andreini,Giambattista Andreini.md,cS2ZRx7FP2Cu,710312897440091175426,catalog_identifier,,,,,,,,,,,,,,,
