class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,has_version_external_source,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,identifier_value
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XMoQEYPeMePf,short story collection,,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,title,,,I diporti di m. Girolamo Parabosco. Con gli suoi enigmi di nuouo agiontiui. Et nouamente ristampati et diligentissimamente reuisti,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,inception,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1550.0,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,has_version,,,,,,https://books.google.be/books?id=-Rw8AAAAcAAJ,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dr2LauGgWric', 'label': 'Domenico Giglio'}",1558,https://edit16.iccu.sbn.it/titolo/CNCE025852,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,has_version,,,,,,,,,~1550,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,1564,https://edit16.iccu.sbn.it/titolo/CNCE023570,"Reprint with ""enigmi"".",,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6i2dMd6jYqCG,Girolamo Parabosco,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BL66bhcML892,riddle,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MoHvpzT28S9a,novella,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,based_on,,,,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,has_part,,,,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,depicts,,,,,,,,,,,,,,,,,,,,,
Book,I diporti di m. Girolamo Parabosco,I diporti di m. Girolamo Parabosco.md,I diporti di m. Girolamo Parabosco,dMGuXRw5Zfr8,729229790421339864621,identifier,,,,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE059259
