class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,interested_in_label,notable_work_value,related_to_value,motto_value
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,identifier,https://doi.org/10.5281/zenodo.21234768,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,described_by_source,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ma9mE58a3Ryr,online database,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,inception,,,,,2026.0,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,dissolved,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,location,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,official_website,,,,,,,,https://musicare.beniculturali.unipd.it/,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,catalog_identifier,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,member,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,interested_in,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gFBshLVTMG7b,incomplete,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,notable_work,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,related_to,,,,,,,,,,,,,,,
Organisation,Musicare DB,,,Musicare DB,Musicare DB.md,dRXM2UxsVRJj,730769573355419125646,motto,,,,,,,,,,,,,,,
