class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/WORK/023520000101_PPPP00286400C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/baADqnLF4t7X,Tarquinia Molza,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,part_of,,,,,,,,,Torquato Tasso. Per la Illustre Sign. Tarquinia Molza.,1.0,38.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BwRaqPWUAJzz,Il Gareggiamento poetico del Confuso Accademico Ordito,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Forse è cagion l'Aurora,,,Forse è cagion l'Aurora,Forse è cagion l'Aurora.md,do5GPsDuK6Gw,738568653306657271205,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aPTpWcuQe7Uj,musician,,,,,,,,,
