class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,dissolved_sourcing_circumstances,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,member_pseudonym,interested_in_value,interested_in_label,notable_work_value,motto_value,motto_reference
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,identifier,http://www.wikidata.org/entity/Q765899,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GjnsBPGpWNd3,(Pallini 2020),,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,inception,,,,,,1525.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,dissolved,,,,,,,,1603.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,location,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MYfqAMA7FA2N,Siena,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,official_website,,,,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,catalog_identifier,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",48.0,,,,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,member,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2WPJjCokxHPo,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GjnsBPGpWNd3', 'label': '(Pallini 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Bartolomeo Carli Piccolomini,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,member,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Yu2Hbz3grfve,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",Carlo Papini,L'Irresoluto,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,member,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fDvB94aRWTb5,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7vxisZ6ZVsMK', 'label': '(Cosentino 2017)'}]",Iacopo Cicognini,,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,member,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MCpqmQ2EH76N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfUNbStqAZ4d', 'label': '(Geremicca 2017)'}]",Laura Battiferri,Sgraziata,,,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,interested_in,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nW5d9D3bvUAX,theater,,,
Organisation,Accademia degli Intronati di Siena,,,Accademia degli Intronati di Siena,Accademia degli Intronati di Siena.md,dro24WHpsjn3,739919916834036780706,notable_work,,,,,,,,,,,,,,,,,,,,,,,,
