class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,text_value,language_value,language_label
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jZuvVuSH7U3b,Veronica Gambara,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,part_of,,,,,,,,Veronica Gambara.,56.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AqfSVRY3KtFh,1.0,Componimenti poetici delle piu' illustri rimatrici d'ogni secolo,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4dyo9zXijchN,religion,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,text,,,,,,,,,,,,,,,,,,,,,,"Nella secreta, e più profonda parte
Del cor, là dove in schiera armati stanno
I pensieri, e i desiri, e guerra fanno
Sì rea, che la ragion spesso si parte;

L'uomo interno ragiona, ed usa ogn'arte
Per rivocarla, e farle noto il danno:
Ma dietro all'altro esterno i sensi vanno
Senza al spirto di lor punto far parte.

Di carne sono, e però infermi, e gravi
Capir non ponno i belli alti concetti,
Che manda il spirto, a chi di spirto vive.

Guida dunque, Signor, pria, che s'aggravi
D'error più l'alma, alle sacrate rive
I miei, senza il tuo aiuto, iniqui affetti.",,
PoeticWork,"Nella secreta, e più profonda parte",,,"Nella secreta, e più profonda parte","Nella secreta, e più profonda parte.md",egLH4GCWLWRE,756765664893717465690,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
