class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_role,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,identifier,http://www.wikidata.org/entity/Q3839024,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR,(Artese 1983),,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,work_location,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,member_of,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SoT8HEa6ZEYG,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g9JEkvm2QvzR', 'label': '(Artese 1983)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Compagnia dei Pastori Fratteggianti,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2ZGRKmQjw9,literary host,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,related_to,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Lucrezia Gonzaga,,,Lucrezia Gonzaga,Lucrezia Gonzaga.md,eguk9iCCpewq,756978282391497463160,present_in_work,,,,,,,,,,,,,,,,,,,
