class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_sourcing_circumstances,inception_value,inception_reference,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,identifier,https://edit16.iccu.sbn.it/titolo/CNCE080106,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzQMzWpG79QK,(Selepiuc 2020),,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,title,,,,,,"Astolfeide del diuino Pietro Aretino, opera deletteuole da leggere, che continene la vita, & fatti de tutti li paladini di Francia, & di doue nacque òa casa di Maganza, & chi fu Gano, & di che genti, e conditione fu la sua genologia. Cosa bellissima d'amore, & gran bataglie di Orlando, & di Rinaldo",,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,inception,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWmtzgCRQ9wY', 'label': 'circa'}",1547.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mzQMzWpG79QK', 'label': '(Selepiuc 2020)'}]",,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,has_version,,,,,,,,,,https://gallica.bnf.fr/ark:/12148/bpt6k725844,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S8XWwiEFCvS3', 'label': 'Bibliothèque nationale de France'}",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k725844/manifest.json,https://edit16.iccu.sbn.it/titolo/CNCE080106,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3KxURtKJVxAF,Pietro Aretino,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n3JhkD4ERQdC,Astolfo,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Book,Astolfeide del divino Pietro Aretino,,,Astolfeide del divino Pietro Aretino,Astolfeide del divino Pietro Aretino.md,f7WmdoicdMZx,765521165077560189606,has_part,,,,,,,,,,,,,,,,,,,,,
