class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,notable_work_label
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq,(Teza 2017),,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,inception,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,dissolved,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bXhk8iPrKqE,Pavia,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",162.0,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,member,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia degli Affidati di Pavia,,,Accademia degli Affidati di Pavia,Accademia degli Affidati di Pavia.md,fFfSZRnjSHok,768472469161195446744,notable_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hjMNPz3wwVtb,Ragionamento di Luca Contile sopra la proprietà delle imprese con le particolari de gli Academici Affidati et con le interpretationi et croniche
