class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WsQJYjxufGKj,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RKTcVMFKo3J8,Alla S. Dianora Terracina.,50.0,Quinte Rime della signora Laura Terracina detta Phebea nell'Academia de gl'Incogniti,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY,lover,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Suq86ApyHSzQ,weeping,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oMntA8sUyuyk,infinity,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,depicts,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GMAwvtJt3st5,chain,,,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,text,,,,,,,,,,,,,,,,,,,,,,"Oh dolorosi amanti;
Che spregiando la vita,
Solo bramate chi morir v'invita.
Nudriti sol di pianti,
D'angoscia, di sospir, d'acerba doglia.
Et io meschino il provo:
Che'n tanto mal mi trovo,
Che l'alma ogn'hora di piacer si spoglia;
Et con irata voglia
Gridando dico, oh ciel quando farai,
Ch'io possa uscir di sì infiniti lai.",,
PoeticWork,Oh dolorosi amanti,,['O dolorosi amanti'],Oh dolorosi amanti,Oh dolorosi amanti.md,fzzm58RfqpwM,784162642012136386306,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
