class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F097090001010101_000000057100C,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oVgX4nooPy2A,Tarquinia Molza,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FHLpvKokceg7,Pietro Cavatoni,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AxibEdDh9E23,"Di Pietro Cavatoni veronese, Il primo libro de madrigali a cinque voci",,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,instrumentation,,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/L64jM586iCSB,Eran le vostre lagrime nel viso,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,derivative_work,,,,,,,,,,,,,,,
MusicComposition,Eran le vostre lagrime nel viso (Cavatoni),,,Eran le vostre lagrime nel viso (Cavatoni),Eran le vostre lagrime nel viso (Cavatoni).md,gUuqFisRHc3W,793906251098868357493,text,,,,,,,,,,,,,,,
