class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_external_source,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034706,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,described_by_source,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,title,,,,,Rime di madonna Gaspara Stampa,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,inception,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,has_version,,,,,,,1554.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2VQsNtDVwP', 'label': 'Plinio Pietrasanta'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://books.google.it/books?id=dhaYP9ZrmSsC,https://edit16.iccu.sbn.it/titolo/CNCE034706,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,contributor,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,subject,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,has_part,,,,,,,,,,,,,,,,,
Book,Rime di madonna Gaspara Stampa,,,Rime di madonna Gaspara Stampa,Rime di madonna Gaspara Stampa.md,h3THWXv6qB74,805322642909433143408,based_on,,,,,,,,,,,,,,,,,
