class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F123600000010101_000000198203C,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvrgfY6eM6QQ,Bartolomeo Torresani,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P7AXeJcnPriq,Primo libro de Madrigali a quatro voci di l'Hoste da Reggio,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,instrumentation,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,based_on,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XAdiZcFQtCkt,Ingiustissimo Amor perché sì raro,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,derivative_work,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,text,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,language,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,subject,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,poetic_type,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,depicts,,,,,,,,,,,,,,,,,,,,
MusicComposition,Ingiustissimo Amor perché sì raro (Torresani),,,Ingiustissimo Amor perché sì raro (Torresani),Ingiustissimo Amor perché sì raro (Torresani).md,h4jVfou3pYhi,805787654924248643254,metre,,,,,,,,,,,,,,,,,,,,
