class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,identifier,https://edit16.iccu.sbn.it/titolo/CNCE079995,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,described_by_source,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,title,,,,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli. Con alcune annotationi del medesimo, sopra i luoghi, che le ricercano per l'intendimento delle sentenze, o per le regole et precetti della lingua, et dell'ornamento",,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,inception,,,,,,1558.0,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JWGGVqBdWucJ', 'label': 'Melchiorre Sessa'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1558.0,https://www.polodigitalenapoli.it/it/viewer/mirador/viewer?domain=sbn&id=LO1E000757,https://dam.polodigitalenapoli.it/istituto-italiano-per-gli-studi-storici/containers/yRdroBl/manifest,https://edit16.iccu.sbn.it/titolo/CNCE079995,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,subject,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,has_part,,,,,,,,,,,,,,,,,,
Book,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli",,,"I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli","I fiori delle rime de' poeti illustri, nuouamente raccolti et ordinati da Girolamo Ruscelli.md",irbhHZeB3sYy,843027570021706396426,based_on,,,,,,,,,,,,,,,,,,
