class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,identifier,https://edit16.iccu.sbn.it/titolo/CNCE036483,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV00190010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,title,,,,,,"Il nuovo echo a cinque voci del r.do mons.or don Lodouico Agostini ferrarese. Protonotario apostolico, cappellano, et musico del sereniss. et inuitiissimo signor duca di Ferrara. Libro terzo, opera decima",,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,inception,,,,,,,1583.0,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE036483,1583.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UWRwVeh9kWAP', 'label': 'Vittorio Baldini'}",https://edl.cultura.gov.it/item/eq510gxzjd,https://edl-jarvis.cultura.gov.it/meta/iiif/be9feeec-0221-4fd8-8c65-3465b76fdcea/manifest,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ikLPqBsoWwKi,Alfonso II d'Este,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XtiKQkt7awAq,Lodovico Agostini,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,has_part,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,Il nuovo echo a cinque voci,,,Il nuovo echo a cinque voci,Il nuovo echo a cinque voci.md,jPYPYvZuSBLf,853867539895845776365,instrumentation,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
