class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,work_location,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,member_of,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25XEt7fKpT7n,lutenist,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,related_to,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,notable_work,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,interested_in,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,catalog_identifier,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,present_in_work,,,,,,,,,,,,,,
Agent,Giovanni Battista Dalla Gostena,Giovanni Battista Dalla Gostena.md,Giovanni Battista Dalla Gostena,jPdVpMdZaJ9F,853899995929339652371,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1525859
