class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,identifier,http://www.wikidata.org/entity/Q437615,,,,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XEzdiDXFEmfq,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",1543.0,Accademia dei Sonnacchiosi di Bologna,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",19729.0,
Agent,Veronica Gambara,,,Veronica Gambara,Veronica Gambara.md,jZuvVuSH7U3b,857624702311763974413,present_in_work,,,,,,,,,,,,,,,,,,,,
