class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,identifier,http://www.wikidata.org/entity/Q184530,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DVnLVXg56sdF,(Schleuse 2015),,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CMJo3Jvb76K3,(Rhodes and Sawday 2000),,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,work_location,,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,member_of,,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/evGvtjqjNjf9,mathematician,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,related_to,,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,notable_work,,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cJtwxJGbNdUY,tarot card game,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JhRaHtEjNU96,astrology,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Gerolamo Cardano,,['Girolamo Cardano'],Gerolamo Cardano,Gerolamo Cardano.md,jpQ6pKz4YsX6,862865697283464617578,present_in_work,,,,,,,,,,,,,,,,,
