class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,identifier,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,described_by_source,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,work_location,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,member_of,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,occupation,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,related_to,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,notable_work,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,interested_in,,,,,,,,,,,,,,,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18194.0,
Agent,Girolamo Bartolomei,,['Girolamo Bartolommei'],Girolamo Bartolomei,Girolamo Bartolomei.md,mFyFdDPj6fDu,892400976508110989079,present_in_work,,,,,,,,,,,,,,,
