class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,identifier,https://rism.online/sources/993120764,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV52150010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,identifier,https://edit16.iccu.sbn.it/titolo/CNCE043012,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,title,,,,,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci, nouamente composti, et dati in luce",,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,inception,,,,,,,1585.0,,,,,,,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,has_version,,,,,,,,1585.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h98jfRjMidFB', 'label': 'Ricciardo Amadino'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE043012,https://edl.cultura.gov.it/item/98rmpqg9rx,https://edl-jarvis.cultura.gov.it/meta/iiif/9f358872-1482-46d5-bfc8-89a7ea955f7d/manifest,,,,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8BDjmHVSTReY', 'label': 'Bartolomeo Spontone'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,
NotatedMusic,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci",,,"De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci","De floridi virtuosi d'Italia, il secondo libro de madrigali a cinque voci.md",n5drAb6jz572,909293361830046394152,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EgZgZVfAZ3zM,Giovanni Pierluigi da Palestrina,,,,,
