class,label,base_name,filename,id,n_id,property,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,identifier_value,described_by_source_value,described_by_source_label
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,instance_of,[[academy]],,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,inception,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,dissolved,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,location,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9g6i2k2ME43Z,Brescia,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,official_website,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,catalog_identifier,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",545.0,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,member,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,interested_in,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,notable_work,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,identifier,,,,,,,,,,,,,,
Organisation,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia,Accademia degli Occulti di Brescia.md,nkXY4TCDVaEb,923372535259836491721,described_by_source,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq,(Teza 2017)
